degree,rho_up_grade,rho_down_mu_0.35,rho_slide_mu_0.35,rho_down_mu_0.5,rho_slide_mu_0.5,rho_down_mu_0.7,rho_slide_mu_0.7,rho_roll_cgH_0.4,rho_roll_cgH_0.45,rho_roll_cgH_0.5,rho_roll_cgH_0.55
21.5,0.6822729562169702,1.1254584985413827,1.1254584985413827,0.787820949654243,0.787820949654243,0.5627292500745903,0.5627292500745903,0.3687352747614734,0.41482718405811814,0.4609190933439764,0.5070110026190482
21.75,0.6910182025942146,1.139884413810957,1.139884413810957,0.7979190903516006,0.7979190903516006,0.5699422077196817,0.5699422077196817,0.3734616541326419,0.4201443608500605,0.4668270675565544,0.5135097742521235
22.0,0.6997939495247103,1.1543606419451318,1.1543606419451318,0.8080524500542088,0.8080524500542088,0.5771803217971093,0.5771803217971093,0.3782045175660628,0.4254800822120347,0.47275564684694316,0.520031211470788
22.25,0.7086006927706829,1.1688880007394906,1.1688880007394906,0.8182216012189762,0.8182216012189762,0.5844440012046653,0.5844440012046653,0.3829641329970528,0.43083464957127193,0.4787051661342883,0.526575682686102
22.5,0.7174389339716601,1.1834673176846506,1.1834673176846506,0.8284271230893359,0.8284271230893359,0.5917336596876591,0.5917336596876591,0.38774077153732367,0.43620836792844786,0.4846759643082296,0.5331435606766689
22.75,0.7263091807693447,1.1980994301722496,1.1980994301722496,0.8386696018394345,0.8386696018394345,0.5990497159419103,0.5990497159419103,0.39253470754247016,0.4416015459336066,0.4906683843132604,0.5397352226814314
23.0,0.7352119469350723,1.2127851857051988,1.2127851857051988,0.8489496307213102,0.8489496307213102,0.6063925937188746,0.6063925937188746,0.39734621868085507,0.4470144959636562,0.49668277323483395,0.5463510504943883
23.25,0.7441477524999278,1.227525442112316,1.227525442112316,0.8592678102151365,0.8592678102151365,0.613762721932962,0.613762721932962,0.40217558600393016,0.45244753420148004,0.5027194823872652,0.5529914305612855
23.5,0.7531171238875894,1.2423210677674643,1.2423210677674643,0.8696247481826178,0.8696247481826178,0.6211605347711044,0.6211605347711044,0.4070230940180326,0.45790098071670715,0.5087788674034752,0.5596567540783367
23.75,0.762120594049979,1.2571729418133157,1.2571729418133157,0.8800210600236248,0.8800210600236248,0.6285864718046386,0.6285864718046386,0.4118890307576968,0.4633751595481888,0.5148612883266319,0.5663474170930263
24.0,0.7711587026057937,1.2720819543898694,1.2720819543898694,0.8904573688361578,0.8904573688361578,0.6360409781035646,0.6360409781035646,0.41677368786052427,0.4688703987882267,0.5209671097037374,0.5730638206070564
24.25,0.7802319959820003,1.2870490068678568,1.2870490068678568,0.9009343055797292,0.9009343055797292,0.6435245043532491,0.6435245043532491,0.42167736064365463,0.4743870306686028,0.5270967006812158,0.5798063706814938
24.5,0.7893410275583751,1.3020750120871705,1.3020750120871705,0.9114525092422644,0.9114525092422644,0.6510375069736388,0.6510375069736388,0.4266003481818817,0.47992539164846026,0.5332504351025597,0.5865754785441798
24.75,0.7984863578151693,1.3171608946004494,1.3171608946004494,0.9220126270106112,0.9220126270106112,0.6585804482410539,0.6585804482410539,0.4315429533874602,0.4854858225040854,0.5394286916080868,0.5933715606994645
25.0,0.8076685544839943,1.3323075909219741,1.3323075909219741,0.9326153144447666,0.9326153144447666,0.6661537964126355,0.6661537964126355,0.43650548309165144,0.49106866842064734,0.5456318537368743,0.6001950390403322
25.25,0.8168881927020111,1.3475160497820144,1.3475160497820144,0.9432612356559198,0.9432612356559198,0.6737580258535187,0.6737580258535187,0.44148824812805515,0.49667427908594564,0.5518603100309214,0.6070463409629824
25.5,0.8261458551695172,1.3627872323867798,1.3627872323867798,0.9539510634884183,0.9539510634884183,0.6813936171668095,0.6813936171668095,0.4464915634177782,0.5023030087862254,0.5581144541416115,0.6139258994839365
25.75,0.8354421323110305,1.3781221126841383,1.3781221126841383,0.9646854797057701,0.9646854797057701,0.6890610573264422,0.6890610573264422,0.4515157480564913,0.5079552165041163,0.5643946849385332,0.6208341533597421
26.0,0.8447776224399616,1.3935216776352564,1.3935216776352564,0.9754651751807926,0.9754651751807926,0.696760839813001,0.696760839813001,0.4565611254034277,0.5136312660187555,0.5707014066207278,0.6277715472093444
26.25,0.8541529319269822,1.4089869274923348,1.4089869274923348,0.9862908500900266,0.9862908500900266,0.7044934647525868,0.7044934647525868,0.4616280231723773,0.5193315260081568,0.5770350288304325,0.6347385316392044
26.5,0.8635686753721906,1.4245188760826073,1.4245188760826073,0.9971632141125365,0.9971632141125365,0.7122594390588172,0.7122594390588172,0.46671677352473384,0.5250563701538882,0.5833959667693897,0.6417355633712385
26.75,0.8730254757811838,1.4401185510987842,1.4401185510987842,1.0080829866332202,1.0080829866332202,0.7200592765780482,0.7200592765780482,0.4718277131646536,0.5308061772481251,0.5897846413177942,0.6487631053736612
27.0,0.8825239647451444,1.4557869943961195,1.4557869943961195,1.019050896950756,1.019050896950756,0.7278934982379076,0.7278934982379076,0.47696118343638305,0.5365813313031449,0.5962014791559543,0.6558216269948114
27.25,0.8920647826250613,1.471525262296296,1.471525262296296,1.0300676844903223,1.0300676844903223,0.7357626321992375,0.7357626321992375,0.4821175304238218,0.5423822216633348,0.6026469128887445,0.662911604100051
27.5,0.9016485787401995,1.4873344258983194,1.4873344258983194,1.0411340990212243,1.0411340990212243,0.7436672140115416,0.7436672140115416,0.487297105052381,0.548209243119782,0.6091213811729282,0.6700335192118198
