pair_id,roi_id,scenario,模型方案,是否找到路径,规划模型内部相对累计代价_Jplan,规划路径长度_L_m,规划平均单位距离相对代价,规划绕行率_L除以直线距离,路径节点数,V10统一重评价相对累计代价_Jplan,V10统一重评价平均单位距离相对代价,评价路径长度_m,平均上坡牵引利用率,平均下坡制动利用率,平均侧翻稳定性利用率,平均侧滑附着利用率,平均最大利用率,最大上坡牵引利用率,最大下坡制动利用率,最大侧翻稳定性利用率,最大侧滑附着利用率,最大rho_max,P_rho_roll_gt_0p7,P_rho_slide_gt_0p7,P_rho_up_gt_0p7,P_rho_down_gt_0p7,P_rho_max_gt_1p0,P_rho_max_gt_0p9,主导限制_上坡牵引_路径比例,主导限制_下坡制动_路径比例,主导限制_侧翻稳定性_路径比例,主导限制_侧滑附着_路径比例,平均侧滑附着能力_mu_s,平均制动附着能力_mu_b,硬约束rho_lim
6,2,contour_cross_slope,V10_Hard_rho_1p5,True,24831.68984382636,13321.822298581055,1.8639859688318505,1.6122598306335751,195,24831.68984382636,1.8639859688318505,13321.822298581046,0.34519263078746987,0.4664192603262706,0.2395237983842912,0.5838792238417135,0.9429345503560709,1.5947032196496744,6.751817037006994,0.7692094740923865,1.6637255210620379,6.751817037006994,0.0122294909038626,0.3188358866591938,0.2318730444338977,0.31704491918155275,0.43156139543036454,0.5020982489172661,0.3791887769993902,0.3030244608000492,0.0,0.3177867622005609,0.3860757194784949,0.3860757194784949,1.5
7,2,upslope_downslope,B0_Static_Slope,True,36871.16915051079,9734.210790058887,3.7877923486273444,1.1780728407857146,141,18123.265068574554,1.861811446191717,9734.210790058894,0.3831816968098048,0.3262864758412878,0.23854895873864682,0.5868273083524432,0.9557639906146418,1.413970188089378,2.831473168873752,1.144118293397919,2.759094769875196,2.831473168873752,0.07878169465373472,0.2787816946537347,0.2714285714285714,0.17489486695884693,0.39999999999999997,0.49754895892494555,0.38081220356417705,0.22857142857142868,0.0,0.39061636786439474,0.39070333552553493,0.39070333552553493,
7,2,upslope_downslope,B1_Longitudinal_Directional,True,19756.028428632068,11021.189432108524,1.7925495746471745,1.3338281061656607,165,31483.58297539474,2.8566411247475894,11021.189432108518,0.27180204867677105,0.24638224951457638,0.6844890043309511,1.829932986188104,1.8798004102030437,1.2013430921360884,3.836259680117611,1.2992529772484844,3.836259680117611,3.836259680117611,0.5008967000280276,0.8907719086265962,0.08003481214575048,0.139689495942074,0.8485896771846766,0.8759895563562748,0.048305282236063424,0.02739987917159829,0.0,0.9242948385923386,0.3555022898517358,0.3555022898517358,
7,2,upslope_downslope,V9_Constant_Adhesion,True,16684.79223127375,9456.090481771493,1.764449299997396,1.144413616763266,137,17980.91671395623,1.9015169904114229,9456.090481771498,0.3832785140483765,0.33321634214041235,0.2892768068737792,0.7425314509418786,1.0107274772383144,1.638815669397057,2.728602396921321,1.144118293397919,6.2914658753928805,6.2914658753928805,0.0897133097557108,0.3544191921086519,0.23886236304587183,0.19369960110667367,0.38235294117647056,0.46554197425724086,0.31343688969095246,0.19013135570786072,0.0,0.4964317546011872,0.3887843866953577,0.3887843866953577,
7,2,upslope_downslope,V10_Free,True,17914.21735811038,9619.00958639486,1.862376494919838,1.1641307336966618,139,17914.21735811038,1.862376494919838,9619.009586394868,0.39335286534409225,0.3290733150036247,0.23877837148334868,0.5887064745849148,0.949707270840552,1.413970188089378,2.728602396921321,1.144118293397919,2.759094769875196,2.759094769875196,0.08819381734155703,0.26064807408728025,0.2866557214262772,0.18896588972233216,0.3614201464680554,0.4601373917309438,0.397349376799721,0.23481670304666605,0.0,0.3678339201536135,0.39041110834726256,0.39041110834726256,
7,2,upslope_downslope,V10_Hard_rho_1p0,False,inf,inf,inf,inf,0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,1.0
7,2,upslope_downslope,V10_Hard_rho_1p2,False,inf,inf,inf,inf,0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,1.2
7,2,upslope_downslope,V10_Hard_rho_1p5,False,inf,inf,inf,inf,0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,1.5
8,2,diagonal_ne_sw,B0_Static_Slope,True,34343.27126258799,10270.686004888352,3.343814740927942,1.2483491200067847,147,18723.452981498514,1.8229992595029245,10270.686004888352,0.23710815714400907,0.5232922904714887,0.19030412302381047,0.4807463988072745,0.8834661734803297,1.8073303156029643,1.97977731173258,0.7045700224879842,1.7711225979325418,1.97977731173258,0.01586253387026234,0.24603436653243438,0.16151201079092342,0.35803432765370413,0.3346390930913432,0.4700342887749739,0.3058006974391187,0.4458419217265477,0.0,0.24835738083433376,0.3787405397691855,0.3787405397691855,
8,2,diagonal_ne_sw,B1_Longitudinal_Directional,True,19157.345602868714,11529.712147723978,1.6615632166194598,1.4013772796376347,173,29877.273301158075,2.591328640156554,11529.712147723967,0.15022498240867138,0.3913798148081448,0.605250860276357,1.5852722669928365,1.609735725980277,0.9472053868992164,1.6803223333993547,1.0148393901891146,2.856307212264876,2.856307212264876,0.33528433037009236,0.9047239888153292,0.03704022770317545,0.2853259262971999,0.8385658693714061,0.8726796015194429,0.029117891740747696,0.0732233047033631,0.0,0.8976588035558897,0.3648360602831508,0.3648360602831508,
