pair_id,roi_id,scenario,模型代码,模型名称,起点_row,起点_col,终点_row,终点_col,是否找到路径,路径总代价_J,路径长度_L_m,平均单位距离代价_J除以L,绕行率_L除以直线距离,路径节点数,评价路径长度_m,平均上坡牵引利用率,平均下坡制动利用率,平均侧翻稳定性利用率,平均侧滑附着利用率,平均最大利用率,最大上坡牵引利用率,最大下坡制动利用率,最大侧翻稳定性利用率,最大侧滑附着利用率,最大rho_max,P_rho_roll_gt_0p7,P_rho_slide_gt_0p7,P_rho_up_gt_0p7,P_rho_down_gt_0p7,P_rho_max_gt_1p0,P_rho_max_gt_0p9,主导限制_上坡牵引_路径比例,主导限制_下坡制动_路径比例,主导限制_侧翻稳定性_路径比例,主导限制_侧滑附着_路径比例,平均侧滑附着能力_mu_s,平均制动附着能力_mu_b
7,2,contour_cross_slope,B0,B0 静态坡度代价,394,676,504,582,True,18726.43775243185,5626.994892383455,3.3279642350092478,1.3503073781744976,162,5626.9948923834545,0.19684512083369346,0.2909940890786591,0.29466993133691666,1.0326019236080444,1.1469242063084992,1.8643407615159178,3.069007744094088,1.2281495804836422,10.12772555551049,10.12772555551049,0.06602268936511449,0.5226995345969372,0.10784674683546001,0.15463837576243578,0.444320324850764,0.5061029267560574,0.13380168046173496,0.12144516008067625,0.0,0.744753159457588,0.3033949529103691,0.3033949529103691
7,2,contour_cross_slope,B1,B1 方向纵坡代价,394,676,504,582,True,7580.191526619632,4941.576822537628,1.533962093242741,1.1858279189697791,144,4941.5768225376305,0.15509876878290538,0.2259952810246121,0.5558978157102373,1.6270099938849778,1.6382111955560483,1.4458642524823717,3.069007744094088,2.003822999736468,10.12772555551049,10.12772555551049,0.3085493557826275,0.7680451148155352,0.033969006470591354,0.11056347706875401,0.696693044725787,0.7141775250548108,0.025726743399807624,0.02572674339980762,0.0,0.9485465132003843,0.33184758050458785,0.33184758050458785
7,2,contour_cross_slope,V9常数附着,V9 常数附着车辆能力利用率,394,676,504,582,True,8946.739436927439,4948.564947341132,1.8079462494949226,1.187504856067154,143,4948.564947341132,0.239582341212762,0.39242612036901564,0.36007316991551974,1.2053229429221404,1.3497714955503628,2.8492030857740844,9.053572845077559,1.2798611417671635,7.212168198621107,9.053572845077559,0.08330477954346294,0.6186379684020133,0.1230457464840661,0.18406934867591426,0.5672571417354181,0.6268685921463227,0.1206350526027529,0.10176311123282106,0.0,0.7776018361644254,0.3153756685837021,0.3153756685837021
7,2,contour_cross_slope,V10空间附着,V10 空间附着车辆能力利用率,394,676,504,582,True,10442.574878640704,5159.20195292385,2.024067864356935,1.2380513214886733,147,5159.201952923848,0.250951210716125,0.4090159497359403,0.3143459507736614,1.0945880107909913,1.2482140125476031,2.2552509211886105,9.053572845077559,1.2798611417671635,7.212168198621107,9.053572845077559,0.05294984773686665,0.546409756525043,0.12918673777148101,0.19003117395971855,0.5129158543531949,0.5510342993705021,0.15287050312559367,0.1324567833773929,0.0,0.7146727134970128,0.3082398195067846,0.3082398195067846
8,2,upslope_downslope,B0,B0 静态坡度代价,403,574,496,685,True,17867.620929218254,5023.036374849315,3.5571354845612206,1.2043981575691483,146,5023.036374849316,0.38378630008288384,0.2892993248611553,0.21583889337518153,0.6168863581107664,0.914921719106006,1.8944107737984326,5.677664326574063,0.9178802127825116,4.450061228936428,5.677664326574063,0.02432579008970319,0.28732835781543775,0.2096010815732925,0.12695511664607634,0.3355724604823547,0.4253432843691244,0.4047836625154429,0.12318894841005477,0.0,0.47202738907450253,0.3553634521019464,0.3553634521019464
8,2,upslope_downslope,B1,B1 方向纵坡代价,403,574,496,685,True,9420.558916957305,4878.187068567284,1.9311598314174756,1.1696669263790336,136,4878.187068567285,0.3190217238557446,0.15454956068451006,0.630152004756052,1.7086645697500715,1.7151235410644585,0.9780846413851337,1.91432292562883,1.1700990607783033,3.07826044382338,3.07826044382338,0.443703215554154,0.9012401159908562,0.12034956503428948,0.06679493932208709,0.8584803307912267,0.8928907485755953,0.020157156051158826,0.014253261733209857,0.0,0.9655895822156308,0.34658956529837176,0.34658956529837176
8,2,upslope_downslope,V9常数附着,V9 常数附着车辆能力利用率,403,574,496,685,True,8195.127464538878,4674.538187788065,1.7531416228341292,1.1208370317699452,131,4674.538187788071,0.4105458580862327,0.3125712845386391,0.2823938953676743,0.7262834814492731,0.9362215258234844,1.9561692827702675,2.473883839599231,0.8661686514989897,2.3440620520568953,2.473883839599231,0.04717465075619179,0.4169158222881339,0.2076197613428768,0.16616835542373234,0.4107547214993446,0.4876777984224216,0.3763401282724733,0.17849055700131092,0.0,0.4451693147262162,0.3703553659545644,0.3703553659545644
8,2,upslope_downslope,V10空间附着,V10 空间附着车辆能力利用率,403,574,496,685,True,8893.613251583523,4691.409013464236,1.895723273340495,1.1248822326892116,132,4691.409013464242,0.4155304248568969,0.3115895944481652,0.27655218097091444,0.7121624712065672,0.9280692852006733,1.9561692827702675,2.473883839599231,0.8661686514989897,2.3440620520568953,2.473883839599231,0.04700500549461732,0.40419193371141376,0.20687313771861143,0.16557079563962399,0.4154165468808364,0.47724227614357956,0.41330999406390984,0.17170974042856701,0.0,0.4149802655075235,0.3705468384015527,0.3705468384015527
9,2,diagonal_ne_sw,B0,B0 静态坡度代价,399,579,500,680,True,16238.662585004922,4806.610217128267,3.3784022110090697,1.168437557513067,136,4806.610217128268,0.40683252230229244,0.24063762129530514,0.17275573366116562,0.4888956617635284,0.8344124904120015,1.8944107737984326,2.549432702206276,0.9507054868823711,4.450061228936428,4.450061228936428,0.005991811196459655,0.2029429908622495,0.21903874235498702,0.11965984147592545,0.300265827191402,0.39305070950989285,0.45194078919953495,0.20748094487291124,0.0,0.340578265927554,0.365112055652167,0.365112055652167
9,2,diagonal_ne_sw,B1,B1 方向纵坡代价,399,579,500,680,True,10303.813116785765,5359.956257633897,1.9223688816696216,1.3029502945192746,149,5359.956257633896,0.32443902976081557,0.1841732743255814,0.5945349037478748,1.6192615800797936,1.7028495033167985,0.9568219317898049,2.549432702206276,1.1764380192001203,6.2914658753928805,6.2914658753928805,0.39714481991279793,0.8658273152558092,0.0737633419592724,0.08228414406976163,0.8613759821976913,0.8765737838953575,0.01834536948838139,0.06931200890115437,0.0,0.9123426216104636,0.3526400527649843,0.3526400527649843
